timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
16,2260,2073,2777
15,1706,1661,2222
17,1615,1591,2130
13,1117,1224,1637
15,1434,1504,2011
18,2112,1964,2630
11,1157,1252,1674
12,1195,1280,1712
14,1609,1594,2131
13,1624,1601,2141
