timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
14,2966,2281,3056
13,10127,7818,10479
11,13301,10199,13655
15,7922,6288,8433
14,17388,13251,17743
19,13291,10182,13648
19,18097,13772,18444
13,4029,3123,4186
11,2233,1762,2359
15,18769,14267,19109
