timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
18,101317,75902,101647
11,62724,47099,63077
12,68626,51504,68979
13,74423,55841,74778
11,62855,47200,63198
12,68565,51466,68922
13,67256,50458,67596
11,62518,46949,62869
12,68510,51435,68868
13,74245,55703,74599
