timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
12,6899,5408,7249
17,9832,7597,10179
13,7477,5841,7830
18,10414,8037,10769
18,10411,8032,10761
18,10410,8122,10892
11,6299,4960,6649
12,6882,5396,7232
20,11589,8917,11944
14,8071,6285,8421
