timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
20,23320,17663,23666
19,22166,16808,22512
14,15247,11642,15597
11,12760,9775,13100
20,23300,17661,23651
12,13908,10643,14258
15,17461,13301,17815
12,13896,10635,14251
18,20963,15892,21309
13,15105,11535,15451
