timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
19,10943,9208,13016
12,6012,5020,7093
16,9070,7948,11234
18,10298,8704,12302
14,7925,7036,9942
15,8533,7473,10560
17,9605,8285,11708
19,10931,9238,13058
12,6833,5950,8408
16,9164,8041,11361
18,7416,5926,8372
14,7895,6893,9741
15,8595,7519,10626
17,9755,8479,11984
13,7334,6376,9011
