timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
16,45153,32650,46165
15,38553,27982,39563
17,47459,34291,48483
13,37407,27180,38425
18,11528,8787,12419
15,18629,13486,19066
11,29969,21917,30987
15,29448,21553,30471
17,17294,12534,17720
20,60158,43273,61184
17,43910,31615,44700
20,15723,11845,16746
14,3570,2804,3961
16,24918,17960,25393
12,37506,27203,38462
