timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
13,30461,23984,33909
16,8570,6941,9809
17,33122,25771,36435
12,24365,19505,27574
12,16975,13680,19337
15,26875,21159,29911
16,10248,9433,13332
16,39980,30727,43443
17,28775,22393,31658
15,33406,26003,36765
16,27636,21764,30769
14,21209,16706,23615
11,11686,9505,13433
17,44420,34020,48098
12,30735,24104,34079
