timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
19,54482,39254,55498
19,68699,49314,69727
19,68192,48956,69222
19,66085,47468,67113
19,31881,23032,32561
19,66216,47538,67214
19,67363,48371,68391
19,67139,47899,67725
19,19875,14628,20681
13,43986,31830,45002
11,36125,26277,37150
15,52672,37982,53700
17,13078,9723,13742
13,4113,3148,4445
18,60135,43258,61163
