timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
15,22562,16494,23318
17,53873,38825,54894
20,38981,28292,40003
17,53000,38162,53958
13,39300,28522,40327
18,43935,31800,44962
11,13310,10140,14333
15,38899,28239,39925
11,19981,14698,20780
15,44434,32159,45462
