timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
17,3249,2390,3376
17,3127,2308,3257
13,2233,1676,2363
15,2742,2036,2872
14,2488,1856,2618
16,2995,2214,3124
12,2013,1520,2143
17,3021,2229,3145
13,2255,1690,2383
18,3374,2478,3500
