timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
11,36345,26397,37323
15,17873,13146,18584
14,47366,34227,48394
19,65302,46912,66329
19,64943,46658,65971
19,33221,24221,34245
16,53001,38208,54023
15,50750,36446,51532
17,58009,41598,58815
20,68647,49277,69670
