timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
13,7588,11288,15957
14,8168,11712,16556
19,11112,13785,19486
12,7006,10879,15377
16,9345,12545,17733
15,6652,10635,15032
17,9944,12959,18319
13,7591,11291,15960
14,8191,11719,16565
12,7007,10880,15379
