type, operation, timeCostBeforeOperation(Second), recvedWhenOperation(KB), sniffedPacketNum, sniffedPayload(KB), recvedAfterOperation
5mbit_250ms, close, 12,6196,4766,6733,537
5mbit_250ms, close, 20,10745,8029,11348,603
5mbit_250ms, close, 17,8447,6252,8834,387
5mbit_250ms, close, 20,10995,8115,11471,476
5mbit_500ms, close, 13,2369,1786,2499,130
5mbit_500ms, close, 18,14284,10762,15214,930
5mbit_500ms, close, 18,5759,4296,6068,309
5mbit_500ms, close, 15,2874,2127,3003,129
5mbit_500ms, close, 17,3377,2484,3506,129
5mbit_500ms, close, 20,4016,2935,4145,129
5mbit_500ms, close, 11,1990,1503,2120,130
5mbit_500ms, close, 12,2115,1586,2239,124
5mbit_500ms, close, 17,3374,2479,3500,126
5mbit_500ms, close, 13,2366,1770,2496,130
5mbit_500ms, close, 18,3510,2578,3639,129
5mbit_500ms, close, 15,4193,3140,4436,243
5mbit_500ms, close, 11,2233,1672,2361,128
5mbit_500ms, close, 12,2368,1769,2496,128
5mbit_500ms, close, 17,3382,2482,3506,124
5mbit_50ms, close, 13,7474,5706,8065,591
5mbit_50ms, close, 11,6355,4848,6850,495
5mbit_50ms, close, 12,6900,5276,7455,555
5mbit_50ms, close, 13,7506,5701,8056,550
5mbit_50ms, close, 11,3305,2547,3596,291
5mbit_50ms, close, 12,6819,5214,7368,549
5mbit_50ms, close, 13,7446,5634,7963,517
5mbit_50ms, close, 11,6276,4794,6774,498
5mbit_50ms, close, 15,8612,6300,8905,293
5mbit_50ms, close, 14,8008,6082,8594,586
5mbit_50ms, close, 16,8785,6656,9408,623
5mbit_50ms, close, 15,6180,4736,6692,512
5mbit_50ms, close, 17,9854,7401,10460,606
5mbit_50ms, close, 13,7533,5686,8037,504
5mbit_50ms, close, 11,6345,4884,6901,556
