timeDuration, bytesRecvedOfApplication, sniffedPayloadSize, sniffedPacketNum
10,3005250,2343,3387514
4,4839216,3667,5299680
9,7871328,5585,8077176
9,11508704,7955,11508704
9,10390848,7179,10392072
9,3347776,2318,3348000
6,7946624,5492,7946624
5,5861504,4055,5861728
7,3014736,2085,3014736
3,3559184,2464,3559184
