timeDuration, bytesRecvedOfApplication, sniffedPayloadSize, sniffedPacketNum
10,5570616,4505,6511816
4,1817240,1259,1817232
9,1991000,1381,1991008
6,1957696,1360,1957696
2,1032424,717,1032424
10,3260896,2257,3260896
7,5406832,3812,5514208
7,1869368,1294,1869368
10,2215440,1535,2215440
7,8499760,5877,8499760
