timeDuration, bytesRecvedOfApplication, sniffedPayloadSize, sniffedPacketNum
17,5849544,4613,6654632
12,2168306,2030,2921050
15,2804839,2444,3515109
19,3712068,3089,4444757
18,3447865,2837,4083965
