timeDuration, bytesRecvedOfApplication, sniffedPayloadSize, sniffedPacketNum
20,3852946,2791,4030338
19,3727329,2717,3919865
18,3464688,2535,3655812
16,3069025,2259,3258713
17,3317431,2437,3515807
