timeDuration, bytesRecvedOfApplication, sniffedPayloadSize, sniffedPacketNum
19,3685924,3033,4368924
18,3470235,2887,4157965
13,2407061,2196,3157037
20,4016507,3315,4771387
12,2301522,2089,3002400
