timeDuration, bytesRecvedOfApplication, sniffedPayloadSize, sniffedPacketNum
17,3309638,2758,3969446
12,2156916,1983,2850525
15,2768622,2365,3387436
16,3064225,2558,3679625
17,2989288,2485,3575169
