timeDuration, bytesRecvedOfApplication, sniffedPayloadSize, sniffedPacketNum
19,3712068,2695,3889460
18,3583196,2616,3774332
13,2292914,1723,2482602
20,3700467,2696,3888683
19,3709936,2701,3896728
