timeDuration, bytesRecvedOfApplication, sniffedPacketNum, sniffedSize
16,90376,67968,91186
15,84358,63435,85063
17,90841,68247,91548
20,115617,86935,116644
17,97727,73603,98754
13,73630,55644,74657
11,62468,47327,63496
15,85839,64742,86867
17,97423,73373,98447
13,74502,56293,75526
